ident,bst,tier
sizzlipede,305,1
smoochum,305,1
tandemaus,305,1
timburr,305,1
vanillite,305,1
venonat,305,1
binacle,306,1
capsakid,306,1
fennekin,307,1
corphish,308,1
oshawott,308,1
oshawott_hisui,308,1
poltchageist,308,1
poltchageist_artisan,308,1
sinistea,308,1
sinistea_antique,308,1
snivy,308,1
tepig,308,1
charmander,309,1
chimchar,309,1
cyndaquil,309,1
cyndaquil_hisui,309,1
phantump,309,1
abra,310,1
clobbopus,310,1
doduo,310,1
fuecoco,310,1
gastly,310,1
glameow,310,1
grookey,310,1
mimejr,310,1
mimejr_galar,310,1
mudkip,310,1
quaxly,310,1
scorbunny,310,1
sewaddle,310,1
sobble,310,1
sprigatito,310,1
swablu,310,1
torchic,310,1
treecko,310,1
fidough,312,2
chespin,313,2
froakie,314,2
piplup,314,2
squirtle,314,2
totodile,314,2
darumaka,315,2
darumaka_galar,315,2
finizen,315,2
karrablast,315,2
silicobra,315,2
slowpoke,315,2
slowpoke_galar,315,2
panpour,316,2
pansage,316,2
pansear,316,2
bulbasaur,318,2
chikorita,318,2
turtwig,318,2
joltik,319,2
axew,320,2
cubone,320,2
cubone_alola,320,2
frigibax,320,2
goldeen,320,2
litten,320,2
natu,320,2
oddish,320,2
pikachu,320,2
pikachu_alola,320,2
popplio,320,2
psyduck,320,2
rowlet,320,2
rowlet_hisui,320,2
salandit,320,2
sandygast,320,2
skrelp,320,2
clefairy,323,2
woobat,323,2
dwebble,325,2
eevee,325,2
exeggcute,325,2
exeggcute_alola,325,2
grimer,325,2
grimer_alola,325,2
honedge,325,2
krabby,325,2
magnemite,325,2
seel,325,2
shellos,325,2
shellos_east,325,2
drilbur,328,2
drowzee,328,2
stunky,329,2
trubbish,329,2
aron,330,2
buizel,330,2
chinchou,330,2
clauncher,330,2
cufant,330,2
delibird,330,2
finneon,330,2
hippopotas,330,2
houndour,330,2
luvdisc,330,2
phanpy,330,2
skorupi,330,2
spoink,330,2
teddiursa,330,2
voltorb,330,2
voltorb_hisui,330,2
zorua,330,2
zorua_hisui,330,2
cetoddle,334,2
snover,334,2
cacnea,335,2
deerling,335,2
deerling_autumn,335,2
deerling_summer,335,2
deerling_winter,335,2
dottler,335,2
elgyem,335,2
frillish,335,2
pumpkaboo,335,2
pumpkaboo_large,335,2
pumpkaboo_small,335,2
pumpkaboo_super,335,2
tentacool,335,2
toedscool,335,2
unown,336,2
unown_,336,2
unown_b,336,2
unown_c,336,2
unown_d,336,2
unown_e,336,2
unown_f,336,2
unown_g,336,2
unown_h,336,2
unown_i,336,2
unown_j,336,2
unown_k,336,2
unown_l,336,2
unown_m,336,2
unown_n,336,2
unown_o,336,2
unown_p,336,2
unown_q,336,2
unown_r,336,2
unown_s,336,2
unown_t,336,2
unown_u,336,2
unown_v,336,2
unown_w,336,2
unown_x,336,2
unown_y,336,2
unown_z,336,2
crabrawler,338,2
koffing,340,2
koffing_galar,340,2
lombre,340,2
maschiff,340,2
nuzleaf,340,2
pawniard,340,2
pawniard_override,340,2
skiploom,340,2
staravia,340,2
staryu,340,2
stufful,340,2
vibrava,340,2
spritzee,341,2
swirlix,341,2
clamperl,345,2
mantyke,345,2
rhyhorn,345,2
drifloon,348,2
pancham,348,2
scraggy,348,2
pidgeotto,349,2
buneary,350,2
cranidos,350,2
glimmet,350,2
growlithe,350,2
growlithe_hisui,350,2
mienfoo,350,2
pawmo,350,2
rufflet,350,2
rufflet_hisui,350,2
shieldon,350,2
skiddo,350,2
krokorok,351,2
dolliv,354,2
anorith,355,2
espurr,355,2
kabuto,355,2
lileep,355,2
naclstack,355,2
omanyte,355,2
tirtouga,355,2
trumbeak,355,2
tranquill,358,2
aipom,360,2
elekid,360,2
larvesta,360,2
loudred,360,2
spinda,360,2
whirlipede,360,2
amaura,362,2
tyrunt,362,2
luxio,363,2
corvisquire,365,2
flaaffy,365,2
magby,365,2
nidorina,365,2
nidorino,365,2
litleo,369,2
duosion,370,2
hattrem,370,2
herdier,370,2
lampent,370,2
morgrem,370,2
vullaby,370,2
floette,371,2
floette_blue,371,2
floette_orange,371,2
floette_white,371,2
floette_yellow,371,2
nosepass,375,2
farfetchd,377,2
farfetchd_galar,377,2
mawile,380,2
sableye,380,2
swadloon,380,2
tinkatuff,380,2
fletchinder,382,2
kricketune,384,2
palpitoad,384,2
dustox,385,2
kubfu,385,2
lickitung,385,2
mudbray,385,2
onix,385,2
poliwhirl,385,2
boldore,390,2
gothorita,390,2
graveler,390,2
graveler_alola,390,2
ledian,390,2
munchlax,390,2
weepinbell,390,2
yanma,390,2
beautifly,395,2
beedrill,395,2
butterfree,395,2
gloom,395,2
porygon,395,2
vanillish,395,2
ariados,400,2
charjabug,400,2
cosmoem,400,2
delcatty,400,2
kadabra,400,2
roselia,400,2
wailmer,400,2
archen,401,3
spidops,404,3
bayleef,405,3
charmeleon,405,3
combusken,405,3
croconaw,405,3
eelektrik,405,3
frogadier,405,3
grotle,405,3
grovyle,405,3
gurdurr,405,3
haunter,405,3
ivysaur,405,3
machoke,405,3
marshtomp,405,3
minun,405,3
monferno,405,3
murkrow,405,3
pachirisu,405,3
parasect,405,3
plusle,405,3
prinplup,405,3
quilava,405,3
quilava_hisui,405,3
quilladin,405,3
shiinotic,405,3
togetic,405,3
wartortle,405,3
wobbuffet,405,3
braixen,409,3
bibarel,410,3
carkol,410,3
corsola,410,3
corsola_galar,410,3
drakloak,410,3
floragato,410,3
fraxure,410,3
gabite,410,3
medicham,410,3
ponyta,410,3
ponyta_galar,410,3
pupitar,410,3
pyukumuku,410,3
quaxwell,410,3
sealeo,410,3
sudowoodo,410,3
chatot,411,3
crocalor,411,3
vivillon,411,3
vivillon_pokeball,411,3
dewott,413,3
dewott_hisui,413,3
raticate,413,3
raticate_alola,413,3
servine,413,3
dunsparce,415,3
furret,415,3
squawkabilly,417,3
squawkabilly_blue,417,3
squawkabilly_white,417,3
squawkabilly_yellow,417,3
gumshoos,418,3
pignite,418,3
azumarill,420,3
brionne,420,3
castform,420,3
castform_rainy,420,3
castform_snowy,420,3
castform_sunny,420,3
dartrix,420,3
dartrix_hisui,420,3
dragonair,420,3
drizzile,420,3
hakamoo,420,3
linoone,420,3
linoone_galar,420,3
metang,420,3
mightyena,420,3
poipole,420,3
raboot,420,3
shelgon,420,3
thwackey,420,3
torracat,420,3
watchog,420,3
zweilous,420,3
arctibax,423,3
diggersby,423,3
mothim,424,3
wormadam,424,3
wormadam_sandy,424,3
wormadam_trash,424,3
dugtrio,425,3
dugtrio_alola,425,3
marowak,425,3
marowak_alola,425,3
sunflora,425,3
swoobat,425,3
wugtrio,425,3
emolga,428,3
clodsire,430,3
gligar,430,3
illumise,430,3
lairon,430,3
magcargo,430,3
quagsire,430,3
sneasel,430,3
sneasel_hisui,430,3
volbeat,430,3
dedenne,431,3
misdreavus,435,3
pincurchin,435,3
tangela,435,3
togedemaru,435,3
wigglytuff,435,3
morpeko,436,3
morpeko_hangry,436,3
kecleon,440,3
klang,440,3
minior_meteor,440,3
pelipper,440,3
perrserker,440,3
persian,440,3
persian_alola,440,3
qwilfish,440,3
qwilfish_hisui,440,3
rotom,440,3
seadra,440,3
vigoroth,440,3
fearow,442,3
audino,445,3
liepard,446,3
arbok,448,3
doublade,448,3
chansey,450,3
cherrim,450,3
cherrim_sunshine,450,3
granbull,450,3
klawf,450,3
lokix,450,3
piloswine,450,3
sandslash,450,3
sandslash_alola,450,3
seaking,450,3
terapagos,450,3
venomoth,450,3
noctowl,452,3
purugly,452,3
sliggoo,452,3
sliggoo_hisui,452,3
araquanid,454,3
carnivine,454,3
masquerain,454,3
banette,455,3
chimecho,455,3
dusclops,455,3
girafarig,455,3
golbat,455,3
hitmonchan,455,3
hitmonlee,455,3
hitmontop,455,3
jynx,455,3
primeape,455,3
swellow,455,3
thievul,455,3
ninjask,456,3
palafin,457,3
seviper,458,3
zangoose,458,3
basculin,460,3
basculin_blue_striped,460,3
basculin_hisui,460,3
breloom,460,3
camerupt,460,3
eldegoss,460,3
greedent,460,3
jumpluff,460,3
lanturn,460,3
lumineon,460,3
lunatone,460,3
mrmime,460,3
mrmime_galar,460,3
sharpedo,460,3
solrock,460,3
tropius,460,3
maractus,461,3
aromatisse,462,3
amoonguss,464,3
ribombee,464,3
absol,465,3
forretress,465,3
magneton,465,3
sawk,465,3
skarmory,465,3
stantler,465,3
throh,465,3
meowstic,466,3
meowstic_f,466,3
swalot,467,3
crawdaunt,468,3
whiscash,468,3
alomomola,470,3
cinccino,470,3
dodrio,470,3
eiscue,470,3
eiscue_noice_face,470,3
falinks,470,3
grumpig,470,3
klefki,470,3
maushold,470,3
maushold_four,470,3
rabsca,470,3
stonjourner,470,3
torkoal,470,3
xatu,470,3
stunfisk,471,3
stunfisk_galar,471,3
blue_furfrou,472,3
blue_furfrou_dandy,472,3
blue_furfrou_debutante,472,3
blue_furfrou_diamond,472,3
blue_furfrou_heart,472,3
blue_furfrou_kabuki,472,3
blue_furfrou_la_reine,472,3
blue_furfrou_matron,472,3
blue_furfrou_pharaoh,472,3
blue_furfrou_star,472,3
cyan_furfrou,472,3
cyan_furfrou_dandy,472,3
cyan_furfrou_debutante,472,3
cyan_furfrou_diamond,472,3
cyan_furfrou_heart,472,3
cyan_furfrou_kabuki,472,3
cyan_furfrou_la_reine,472,3
cyan_furfrou_matron,472,3
cyan_furfrou_pharaoh,472,3
cyan_furfrou_star,472,3
furfrou,472,3
furfrou_dandy,472,3
furfrou_debutante,472,3
furfrou_diamond,472,3
furfrou_heart,472,3
furfrou_kabuki,472,3
furfrou_la_reine,472,3
furfrou_matron,472,3
furfrou_pharaoh,472,3
furfrou_star,472,3
galvantula,472,3
lightblue_furfrou,472,3
lightblue_furfrou_dandy,472,3
lightblue_furfrou_debutante,472,3
lightblue_furfrou_diamond,472,3
lightblue_furfrou_heart,472,3
lightblue_furfrou_kabuki,472,3
lightblue_furfrou_la_reine,472,3
lightblue_furfrou_matron,472,3
lightblue_furfrou_pharaoh,472,3
lightblue_furfrou_star,472,3
limegreen_furfrou,472,3
limegreen_furfrou_dandy,472,3
limegreen_furfrou_debutante,472,3
limegreen_furfrou_diamond,472,3
limegreen_furfrou_heart,472,3
limegreen_furfrou_kabuki,472,3
limegreen_furfrou_la_reine,472,3
limegreen_furfrou_matron,472,3
limegreen_furfrou_pharaoh,472,3
limegreen_furfrou_star,472,3
orange_furfrou,472,3
orange_furfrou_dandy,472,3
orange_furfrou_debutante,472,3
orange_furfrou_diamond,472,3
orange_furfrou_heart,472,3
orange_furfrou_kabuki,472,3
orange_furfrou_la_reine,472,3
orange_furfrou_matron,472,3
orange_furfrou_pharaoh,472,3
orange_furfrou_star,472,3
pink_furfrou,472,3
pink_furfrou_dandy,472,3
pink_furfrou_debutante,472,3
pink_furfrou_diamond,472,3
pink_furfrou_heart,472,3
pink_furfrou_kabuki,472,3
pink_furfrou_la_reine,472,3
pink_furfrou_matron,472,3
pink_furfrou_pharaoh,472,3
pink_furfrou_star,472,3
purple_furfrou,472,3
purple_furfrou_dandy,472,3
purple_furfrou_debutante,472,3
purple_furfrou_diamond,472,3
purple_furfrou_heart,472,3
purple_furfrou_kabuki,472,3
purple_furfrou_la_reine,472,3
purple_furfrou_matron,472,3
purple_furfrou_pharaoh,472,3
purple_furfrou_star,472,3
red_furfrou,472,3
red_furfrou_dandy,472,3
red_furfrou_debutante,472,3
red_furfrou_diamond,472,3
red_furfrou_heart,472,3
red_furfrou_kabuki,472,3
red_furfrou_la_reine,472,3
red_furfrou_matron,472,3
red_furfrou_pharaoh,472,3
red_furfrou_star,472,3
yellow_furfrou,472,3
yellow_furfrou_dandy,472,3
yellow_furfrou_debutante,472,3
yellow_furfrou_diamond,472,3
yellow_furfrou_heart,472,3
yellow_furfrou_kabuki,472,3
yellow_furfrou_la_reine,472,3
yellow_furfrou_matron,472,3
yellow_furfrou_pharaoh,472,3
yellow_furfrou_star,472,3
swanna,473,4
garbodor,474,4
hariyama,474,4
trevenant,474,4
vespiquen,474,4
bruxish,475,4
cacturne,475,4
cramorant,475,4
cramorant_gorging,475,4
cramorant_gulping,475,4
dewgong,475,4
frosmoth,475,4
gastrodon,475,4
gastrodon_east,475,4
indeedee,475,4
indeedee_f,475,4
kingler,475,4
manectric,475,4
sawsbuck,475,4
sawsbuck_autumn,475,4
sawsbuck_summer,475,4
sawsbuck_winter,475,4
tatsugiri,475,4
tatsugiri_droopy,475,4
tatsugiri_stretchy,475,4
mimikyu,476,4
mimikyu_busted,476,4
oricorio,476,4
oricorio_pa_u,476,4
oricorio_pom_pom,476,4
oricorio_sensu,476,4
dachsbun,477,4
crabominable,478,4
veluza,478,4
pidgeot,479,4
skuntank,479,4
brambleghast,480,4
darmanitan,480,4
froslass,480,4
glalie,480,4
grapploct,480,4
jellicent,480,4
komala,480,4
lilligant,480,4
lilligant_hisui,480,4
lopunny,480,4
ludicolo,480,4
lurantis,480,4
octillery,480,4
orthworm,480,4
palossand,480,4
phione,480,4
salazzle,480,4
shiftry,480,4
slurpuff,480,4
whimsicott,480,4
espathra,481,4
heliolisk,481,4
ambipom,482,4
malamar,482,4
clefable,483,4
cofagrigus,483,4
golurk,483,4
hypno,483,4
runerigus,483,4
durant,484,4
heatmor,484,4
appletun,485,4
beheeyem,485,4
bombirdier,485,4
comfey,485,4
crustle,485,4
dipplin,485,4
drampa,485,4
drednaw,485,4
druddigon,485,4
flapple,485,4
gorebyss,485,4
grafaiai,485,4
huntail,485,4
mantine,485,4
raichu,485,4
raichu_alola,485,4
relicanth,485,4
rhydon,485,4
scolipede,485,4
spiritomb,485,4
staraptor,485,4
toucannon,485,4
turtonator,485,4
scovillain,486,4
zygarde_10,486,4
zygarde_10_c,486,4
lycanroc,487,4
lycanroc_dusk,487,4
lycanroc_midnight,487,4
musharna,487,4
houndstone,488,4
scrafty,488,4
unfezant,488,4
ferrothorn,489,4
oinkologne,489,4
oinkologne_f,489,4
altaria,490,4
barraskewda,490,4
bellossom,490,4
bisharp,490,4
bisharp_override,490,4
boltund,490,4
bouffalant,490,4
dubwool,490,4
electabuzz,490,4
electrode,490,4
electrode_hisui,490,4
exploud,490,4
gothitelle,490,4
kangaskhan,490,4
kilowattrel,490,4
miltank,490,4
oranguru,490,4
passimian,490,4
pawmot,490,4
reuniclus,490,4
sigilyph,490,4
slowbro,490,4
slowbro_galar,490,4
slowking,490,4
slowking_galar,490,4
tauros,490,4
tauros_paldea,490,4
toxicroak,490,4
victreebel,490,4
vileplume,490,4
weezing,490,4
weezing_galar,490,4
abomasnow,494,4
dragalge,494,4
gourgeist,494,4
gourgeist_large,494,4
gourgeist_small,494,4
gourgeist_super,494,4
accelgor,495,4
alcremie,495,4
alcremie_caramel_swirl,495,4
alcremie_lemon_cream,495,4
alcremie_matcha_cream,495,4
alcremie_mint_cream,495,4
alcremie_rainbow_swirl,495,4
alcremie_ruby_cream,495,4
alcremie_ruby_swirl,495,4
alcremie_salted_cream,495,4
armaldo,495,4
bastiodon,495,4
bellibolt,495,4
carracosta,495,4
corviknight,495,4
cradily,495,4
escavalier,495,4
floatzel,495,4
golem,495,4
golem_alola,495,4
kabutops,495,4
magmar,495,4
mismagius,495,4
omastar,495,4
pangoro,495,4
rampardos,495,4
toxapex,495,4
zebstrika,497,5
drifblim,498,5
simipour,498,5
simisage,498,5
simisear,498,5
talonflame,499,5
aegislash,500,5
aegislash_blade,500,5
alakazam,500,5
barbaracle,500,5
bewear,500,5
bronzong,500,5
calyrex,500,5
carbink,500,5
clawitzer,500,5
claydol,500,5
copperajah,500,5
donphan,500,5
drapion,500,5
flamigo,500,5
garganacl,500,5
gengar,500,5
golduck,500,5
hawlucha,500,5
heracross,500,5
houndoom,500,5
kleavor,500,5
leavanny,500,5
minior,500,5
mudsdale,500,5
muk,500,5
muk_alola,500,5
pinsir,500,5
politoed,500,5
rapidash,500,5
rapidash_galar,500,5
revavroom,500,5
scizor,500,5
scyther,500,5
stoutland,500,5
ursaring,500,5
vikavolt,500,5
wailord,500,5
cyclizar,501,5
toxtricity,502,5
toxtricity_low_key,502,5
arctovish,505,5
arctozolt,505,5
beartic,505,5
conkeldurr,505,5
dracovish,505,5
dracozolt,505,5
honchkrow,505,5
mabosstiff,505,5
machamp,505,5
nidoking,505,5
nidoqueen,505,5
ninetales,505,5
ninetales_alola,505,5
orbeetle,505,5
shuckle,505,5
tinkaton,506,5
pyroar,507,5
sirfetchd,507,5
excadrill,508,5
polteageist,508,5
polteageist_antique,508,5
sinistcha,508,5
sinistcha_masterpiece,508,5
seismitoad,509,5
ampharos,510,5
arboliva,510,5
braviary,510,5
braviary_hisui,510,5
coalossal,510,5
cursola,510,5
gliscor,510,5
grimmsnarl,510,5
hatterene,510,5
mandibuzz,510,5
mienshao,510,5
overqwil,510,5
poliwrath,510,5
sandaconda,510,5
sneasler,510,5
steelix,510,5
tsareena,510,5
weavile,510,5
zoroark,510,5
zoroark_hisui,510,5
avalugg,514,5
avalugg_hisui,514,5
aerodactyl,515,5
cryogonal,515,5
eelektross,515,5
gigalith,515,5
lickilicky,515,5
porygon2,515,5
roserade,515,5
tentacruel,515,5
toedscruel,515,5
yanmega,515,5
dhelmise,517,5
gallade,518,5
gardevoir,518,5
krookodile,519,5
chandelure,520,5
dudunsparce,520,5
dudunsparce_three_segment,520,5
farigiraf,520,5
flygon,520,5
klinklang,520,5
mrrime,520,5
obstagoon,520,5
rotom_fan,520,5
rotom_frost,520,5
rotom_heat,520,5
rotom_mow,520,5
rotom_wash,520,5
starmie,520,5
aurorus,521,5
cetitan,521,5
tyrantrum,521,5
luxray,523,5
armarouge,525,5
centiskorch,525,5
ceruledge,525,5
cloyster,525,5
dusknoir,525,5
espeon,525,5
flareon,525,5
glaceon,525,5
glimmora,525,5
hippowdon,525,5
jolteon,525,5
leafeon,525,5
lucario,525,5
meganium,525,5
probopass,525,5
sylveon,525,5
torterra,525,5
umbreon,525,5
vaporeon,525,5
venusaur,525,5
wyrdeer,525,5
emboar,528,5
samurott,528,5
samurott_hisui,528,5
serperior,528,5
aggron,530,5
basculegion,530,5
basculegion_f,530,5
blastoise,530,5
blaziken,530,5
chesnaught,530,5
cinderace,530,5
decidueye,530,5
decidueye_hisui,530,5
dondozo,530,5
empoleon,530,5
exeggutor,530,5
exeggutor_alola,530,5
feraligatr,530,5
golisopod,530,5
greninja,530,5
greninja_bond,530,5
incineroar,530,5
inteleon,530,5
mamoswine,530,5
meowscarada,530,5
primarina,530,5
quaquaval,530,5
rillaboom,530,5
sceptile,530,5
skeledirge,530,5
walrein,530,5
gogoat,531,5
charizard,534,5
delphox,534,5
infernape,534,5
typenull,534,5
typhlosion,534,5
typhlosion_hisui,534,5
annihilape,535,5
crobat,535,5
duraludon,535,5
lapras,535,5
magnezone,535,5
noivern,535,5
porygonz,535,5
rhyperior,535,5
swampert,535,5
tangrowth,535,5
vanilluxe,535,5
blissey,540,5
darmanitan_galar,540,5
darmanitan_zen,540,5
electivire,540,5
gyarados,540,5
haxorus,540,5
hydrapple,540,5
kingdra,540,5
magmortar,540,5
milotic,540,5
naganadel,540,5
snorlax,540,5
togekiss,545,5
gholdengo,550,5
kingambit,550,5
ogerpon,550,5
ogerpon_cornerstone,550,5
ogerpon_cornerstone_tera,550,5
ogerpon_hearthflame,550,5
ogerpon_hearthflame_tera,550,5
ogerpon_teal_tera,550,5
ogerpon_wellspring,550,5
ogerpon_wellspring_tera,550,5
ursaluna,550,5
urshifu,550,5
urshifu_o,550,5
urshifu_o_rapidstrike,550,5
urshifu_rapid_strike,550,5
volcarona,550,5
floette_eternal,551,6
florges,552,6
florges_blue,552,6
florges_orange,552,6
florges_white,552,6
florges_yellow,552,6
arcanine,555,6
arcanine_hisui,555,6
fezandipiti,555,6
munkidori,555,6
okidogi,555,6
ursaluna_bloodmoon,555,6
ogerponfire,558,6
ogerponrock,558,6
ogerponteal,558,6
ogerponwater,558,6
archeops,567,6
blacephalon,570,6
brutebonnet,570,6
buzzwole,570,6
celesteela,570,6
chienpao,570,6
chiyu,570,6
fluttermane,570,6
greattusk,570,6
guzzlord,570,6
ironbundle,570,6
ironhands,570,6
ironjugulis,570,6
ironmoth,570,6
ironthorns,570,6
irontreads,570,6
kartana,570,6
nihilego,570,6
pheromosa,570,6
sandyshocks,570,6
screamtail,570,6
silvally,570,6
silvally_bug,570,6
silvally_dark,570,6
silvally_dragon,570,6
silvally_electric,570,6
silvally_fairy,570,6
silvally_fighting,570,6
silvally_fire,570,6
silvally_flying,570,6
silvally_ghost,570,6
silvally_grass,570,6
silvally_ground,570,6
silvally_ice,570,6
silvally_poison,570,6
silvally_psychic,570,6
silvally_rock,570,6
silvally_steel,570,6
silvally_water,570,6
slitherwing,570,6
stakataka,570,6
tapubulu,570,6
tapufini,570,6
tapukoko,570,6
tapulele,570,6
tinglu,570,6
wochien,570,6
xurkitree,570,6
articuno,580,6
articuno_galar,580,6
azelf,580,6
cobalion,580,6
cresselia,580,6
enamorus,580,6
enamorus_therian,580,6
entei,580,6
glastrier,580,6
keldeo,580,6
keldeo_resolute,580,6
mesprit,580,6
moltres,580,6
moltres_galar,580,6
raikou,580,6
regice,580,6
regidrago,580,6
regieleki,580,6
regirock,580,6
registeel,580,6
spectrier,580,6
suicune,580,6
terrakion,580,6
thundurus,580,6
thundurus_therian,580,6
tornadus,580,6
tornadus_therian,580,6
uxie,580,6
virizion,580,6
zapdos,580,6
zapdos_galar,580,6
gougingfire,590,6
ironboulder,590,6
ironcrown,590,6
ironleaves,590,6
ironvaliant,590,6
ragingbolt,590,6
roaringmoon,590,6
walkingwake,590,6
archaludon,600,6
baxcalibur,600,6
celebi,600,6
darkrai,600,6
deoxys,600,6
deoxys_attack,600,6
deoxys_defense,600,6
deoxys_speed,600,6
diancie,600,6
dragapult,600,6
dragonite,600,6
garchomp,600,6
genesect,600,6
genesect_electric,600,6
genesect_fire,600,6
genesect_ice,600,6
genesect_water,600,6
goodra,600,6
goodra_hisui,600,6
heatran,600,6
hoopa,600,6
hydreigon,600,6
jirachi,600,6
kommoo,600,6
landorus,600,6
landorus_therian,600,6
latias,600,6
latios,600,6
magearna,600,6
magearna_original,600,6
manaphy,600,6
marshadow,600,6
melmetal,600,6
meloetta,600,6
meloetta_pirouette,600,6
metagross,600,6
mew,600,6
necrozma,600,6
pecharunt,600,6
salamence,600,6
shaymin,600,6
shaymin_sky,600,6
shayminsky,600,6
terapagos_terastal,600,6
tyranitar,600,6
victini,600,6
volcanion,600,6
zarude,600,6
zarude_dada,600,6
zeraora,600,6
zygarde,600,6
zygarde_50_c,600,6
wishiwashi_school,620,6
greninja_ash,640,6
kyurem,660,6
zacian,660,6
zamazenta,660,6
groudon,670,6
koraidon,670,6
kyogre,670,6
miraidon,670,6
regigigas,670,6
slaking,670,6
calyrex_ice,680,6
calyrex_shadow,680,6
dialga,680,6
dialga_origin,680,6
giratina,680,6
giratina_origin,680,6
hooh,680,6
hoopa_unbound,680,6
lugia,680,6
lugia_shadow,680,6
lunala,680,6
mewtwo,680,6
necrozma_dawn_wings,680,6
necrozma_dusk_mane,680,6
palkia,680,6
palkia_origin,680,6
rayquaza,680,6
reshiram,680,6
solgaleo,680,6
xerneas,680,6
xerneas_active,680,6
yveltal,680,6
zekrom,680,6
eternatus,690,6
kyurem_black,700,6
kyurem_white,700,6
terapagos_stellar,700,6
zacian_crowned,700,6
zamazenta_crowned,700,6
zygarde_complete,708,6
arceus,720,6
arceus_bug,720,6
arceus_dark,720,6
arceus_dragon,720,6
arceus_electric,720,6
arceus_fairy,720,6
arceus_fighting,720,6
arceus_fire,720,6
arceus_flying,720,6
arceus_ghost,720,6
arceus_grass,720,6
arceus_ground,720,6
arceus_ice,720,6
arceus_poison,720,6
arceus_psychic,720,6
arceus_rock,720,6
arceus_steel,720,6
arceus_water,720,6
necrozma_ultra,754,6
ultranecrozma,754,6
groudon_primal,770,6
kyogre_primal,770,6
eternatus_eternamax,1125,6
