ident,bst,tier
sizzlipede,305,1
smoochum,305,1
tandemaus,305,1
timburr,305,1
vanillite,305,1
venonat,305,1
binacle,306,2
capsakid,306,2
fennekin,307,2
corphish,308,2
oshawott,308,2
oshawott_hisui,308,2
poltchageist,308,2
poltchageist_artisan,308,2
sinistea,308,2
sinistea_antique,308,2
snivy,308,2
tepig,308,2
charmander,309,2
chimchar,309,2
cyndaquil,309,2
cyndaquil_hisui,309,2
phantump,309,2
abra,310,2
clobbopus,310,2
doduo,310,2
fuecoco,310,2
gastly,310,2
glameow,310,2
grookey,310,2
mimejr,310,2
mimejr_galar,310,2
mudkip,310,2
quaxly,310,2
scorbunny,310,2
sewaddle,310,2
sobble,310,2
sprigatito,310,2
swablu,310,2
torchic,310,2
treecko,310,2
fidough,312,2
chespin,313,2
froakie,314,2
piplup,314,2
squirtle,314,2
totodile,314,2
darumaka,315,2
darumaka_galar,315,2
finizen,315,2
karrablast,315,2
silicobra,315,2
slowpoke,315,2
slowpoke_galar,315,2
panpour,316,2
pansage,316,2
pansear,316,2
bulbasaur,318,2
chikorita,318,2
turtwig,318,2
joltik,319,2
axew,320,2
cubone,320,2
cubone_alola,320,2
frigibax,320,2
goldeen,320,2
litten,320,2
natu,320,2
oddish,320,2
pikachu,320,2
pikachu_alola,320,2
popplio,320,2
psyduck,320,2
rowlet,320,2
rowlet_hisui,320,2
salandit,320,2
sandygast,320,2
skrelp,320,2
clefairy,323,2
woobat,323,2
dwebble,325,2
eevee,325,2
exeggcute,325,2
exeggcute_alola,325,2
grimer,325,2
grimer_alola,325,2
honedge,325,2
krabby,325,2
magnemite,325,2
seel,325,2
shellos,325,2
shellos_east,325,2
drilbur,328,2
drowzee,328,2
stunky,329,2
trubbish,329,2
aron,330,2
buizel,330,2
chinchou,330,2
clauncher,330,2
cufant,330,2
delibird,330,2
finneon,330,2
hippopotas,330,2
houndour,330,2
luvdisc,330,2
phanpy,330,2
skorupi,330,2
spoink,330,2
teddiursa,330,2
voltorb,330,2
voltorb_hisui,330,2
zorua,330,2
zorua_hisui,330,2
cetoddle,334,2
snover,334,2
cacnea,335,2
deerling,335,2
deerling_autumn,335,2
deerling_summer,335,2
deerling_winter,335,2
dottler,335,2
elgyem,335,2
frillish,335,2
pumpkaboo,335,2
pumpkaboo_large,335,2
pumpkaboo_small,335,2
pumpkaboo_super,335,2
tentacool,335,2
toedscool,335,2
unown,336,2
unown_,336,2
unown_b,336,2
unown_c,336,2
unown_d,336,2
unown_e,336,2
unown_f,336,2
unown_g,336,2
unown_h,336,2
unown_i,336,2
unown_j,336,2
unown_k,336,2
unown_l,336,2
unown_m,336,2
unown_n,336,2
unown_o,336,2
unown_p,336,2
unown_q,336,2
unown_r,336,2
unown_s,336,2
unown_t,336,2
unown_u,336,2
unown_v,336,2
unown_w,336,2
unown_x,336,2
unown_y,336,2
unown_z,336,2
crabrawler,338,2
koffing,340,2
koffing_galar,340,2
lombre,340,2
maschiff,340,2
nuzleaf,340,2
pawniard,340,2
pawniard_override,340,2
skiploom,340,2
staravia,340,2
staryu,340,2
stufful,340,2
vibrava,340,2
spritzee,341,2
swirlix,341,2
clamperl,345,2
mantyke,345,2
rhyhorn,345,2
drifloon,348,2
pancham,348,2
scraggy,348,2
pidgeotto,349,2
buneary,350,2
cranidos,350,2
glimmet,350,2
growlithe,350,2
growlithe_hisui,350,2
mienfoo,350,2
pawmo,350,2
rufflet,350,2
rufflet_hisui,350,2
shieldon,350,2
skiddo,350,2
krokorok,351,2
dolliv,354,2
anorith,355,3
espurr,355,3
kabuto,355,3
lileep,355,3
naclstack,355,3
omanyte,355,3
tirtouga,355,3
trumbeak,355,3
tranquill,358,3
aipom,360,3
elekid,360,3
larvesta,360,3
loudred,360,3
spinda,360,3
whirlipede,360,3
amaura,362,3
tyrunt,362,3
luxio,363,3
corvisquire,365,3
flaaffy,365,3
magby,365,3
nidorina,365,3
nidorino,365,3
litleo,369,3
duosion,370,3
hattrem,370,3
herdier,370,3
lampent,370,3
morgrem,370,3
vullaby,370,3
floette,371,3
floette_blue,371,3
floette_orange,371,3
floette_white,371,3
floette_yellow,371,3
nosepass,375,3
farfetchd,377,3
farfetchd_galar,377,3
mawile,380,3
sableye,380,3
swadloon,380,3
tinkatuff,380,3
fletchinder,382,3
kricketune,384,3
palpitoad,384,3
dustox,385,3
kubfu,385,3
lickitung,385,3
mudbray,385,3
onix,385,3
poliwhirl,385,3
boldore,390,3
gothorita,390,3
graveler,390,3
graveler_alola,390,3
ledian,390,3
munchlax,390,3
weepinbell,390,3
yanma,390,3
beautifly,395,3
beedrill,395,3
butterfree,395,3
gloom,395,3
porygon,395,3
vanillish,395,3
ariados,400,3
charjabug,400,3
cosmoem,400,3
delcatty,400,3
kadabra,400,3
roselia,400,3
wailmer,400,3
archen,401,3
spidops,404,3
bayleef,405,3
charmeleon,405,3
combusken,405,3
croconaw,405,3
eelektrik,405,3
frogadier,405,3
grotle,405,3
grovyle,405,3
gurdurr,405,3
haunter,405,3
ivysaur,405,3
machoke,405,3
marshtomp,405,3
minun,405,3
monferno,405,3
murkrow,405,3
pachirisu,405,3
parasect,405,3
plusle,405,3
prinplup,405,3
quilava,405,3
quilava_hisui,405,3
quilladin,405,3
shiinotic,405,3
togetic,405,3
wartortle,405,3
wobbuffet,405,3
braixen,409,3
bibarel,410,3
carkol,410,3
corsola,410,3
corsola_galar,410,3
drakloak,410,3
floragato,410,3
fraxure,410,3
gabite,410,3
medicham,410,3
ponyta,410,3
ponyta_galar,410,3
pupitar,410,3
pyukumuku,410,3
quaxwell,410,3
sealeo,410,3
sudowoodo,410,3
chatot,411,3
crocalor,411,3
vivillon,411,3
vivillon_pokeball,411,3
dewott,413,3
dewott_hisui,413,3
raticate,413,3
raticate_alola,413,3
servine,413,3
dunsparce,415,3
furret,415,3
squawkabilly,417,3
squawkabilly_blue,417,3
squawkabilly_white,417,3
squawkabilly_yellow,417,3
gumshoos,418,3
pignite,418,3
azumarill,420,3
brionne,420,3
castform,420,3
castform_rainy,420,3
castform_snowy,420,3
castform_sunny,420,3
dartrix,420,3
dartrix_hisui,420,3
dragonair,420,3
drizzile,420,3
hakamoo,420,3
linoone,420,3
linoone_galar,420,3
metang,420,3
mightyena,420,3
poipole,420,3
raboot,420,3
shelgon,420,3
thwackey,420,3
torracat,420,3
watchog,420,3
zweilous,420,3
arctibax,423,3
diggersby,423,3
mothim,424,3
wormadam,424,3
wormadam_sandy,424,3
wormadam_trash,424,3
dugtrio,425,3
dugtrio_alola,425,3
marowak,425,3
marowak_alola,425,3
sunflora,425,3
swoobat,425,3
wugtrio,425,3
emolga,428,3
clodsire,430,3
gligar,430,3
illumise,430,3
lairon,430,3
magcargo,430,3
quagsire,430,3
sneasel,430,3
sneasel_hisui,430,3
volbeat,430,3
dedenne,431,3
misdreavus,435,3
pincurchin,435,3
tangela,435,3
togedemaru,435,3
wigglytuff,435,3
morpeko,436,3
morpeko_hangry,436,3
kecleon,440,3
klang,440,3
minior_meteor,440,3
pelipper,440,3
perrserker,440,3
persian,440,3
persian_alola,440,3
qwilfish,440,3
qwilfish_hisui,440,3
rotom,440,3
seadra,440,3
vigoroth,440,3
fearow,442,4
audino,445,4
liepard,446,4
arbok,448,4
doublade,448,4
chansey,450,4
cherrim,450,4
cherrim_sunshine,450,4
granbull,450,4
klawf,450,4
lokix,450,4
piloswine,450,4
sandslash,450,4
sandslash_alola,450,4
seaking,450,4
terapagos,450,4
venomoth,450,4
noctowl,452,4
purugly,452,4
sliggoo,452,4
sliggoo_hisui,452,4
araquanid,454,4
carnivine,454,4
masquerain,454,4
banette,455,4
chimecho,455,4
dusclops,455,4
girafarig,455,4
golbat,455,4
hitmonchan,455,4
hitmonlee,455,4
hitmontop,455,4
jynx,455,4
primeape,455,4
swellow,455,4
thievul,455,4
ninjask,456,4
palafin,457,4
seviper,458,4
zangoose,458,4
basculin,460,4
basculin_blue_striped,460,4
basculin_hisui,460,4
breloom,460,4
camerupt,460,4
eldegoss,460,4
greedent,460,4
jumpluff,460,4
lanturn,460,4
lumineon,460,4
lunatone,460,4
mrmime,460,4
mrmime_galar,460,4
sharpedo,460,4
solrock,460,4
tropius,460,4
maractus,461,4
aromatisse,462,4
amoonguss,464,4
ribombee,464,4
absol,465,4
forretress,465,4
magneton,465,4
sawk,465,4
skarmory,465,4
stantler,465,4
throh,465,4
meowstic,466,4
meowstic_f,466,4
swalot,467,4
crawdaunt,468,4
whiscash,468,4
alomomola,470,4
cinccino,470,4
dodrio,470,4
eiscue,470,4
eiscue_noice_face,470,4
falinks,470,4
grumpig,470,4
klefki,470,4
maushold,470,4
maushold_four,470,4
rabsca,470,4
stonjourner,470,4
torkoal,470,4
xatu,470,4
stunfisk,471,4
stunfisk_galar,471,4
blue_furfrou,472,4
blue_furfrou_dandy,472,4
blue_furfrou_debutante,472,4
blue_furfrou_diamond,472,4
blue_furfrou_heart,472,4
blue_furfrou_kabuki,472,4
blue_furfrou_la_reine,472,4
blue_furfrou_matron,472,4
blue_furfrou_pharaoh,472,4
blue_furfrou_star,472,4
cyan_furfrou,472,4
cyan_furfrou_dandy,472,4
cyan_furfrou_debutante,472,4
cyan_furfrou_diamond,472,4
cyan_furfrou_heart,472,4
cyan_furfrou_kabuki,472,4
cyan_furfrou_la_reine,472,4
cyan_furfrou_matron,472,4
cyan_furfrou_pharaoh,472,4
cyan_furfrou_star,472,4
furfrou,472,4
furfrou_dandy,472,4
furfrou_debutante,472,4
furfrou_diamond,472,4
furfrou_heart,472,4
furfrou_kabuki,472,4
furfrou_la_reine,472,4
furfrou_matron,472,4
furfrou_pharaoh,472,4
furfrou_star,472,4
galvantula,472,4
lightblue_furfrou,472,4
lightblue_furfrou_dandy,472,4
lightblue_furfrou_debutante,472,4
lightblue_furfrou_diamond,472,4
lightblue_furfrou_heart,472,4
lightblue_furfrou_kabuki,472,4
lightblue_furfrou_la_reine,472,4
lightblue_furfrou_matron,472,4
lightblue_furfrou_pharaoh,472,4
lightblue_furfrou_star,472,4
limegreen_furfrou,472,4
limegreen_furfrou_dandy,472,4
limegreen_furfrou_debutante,472,4
limegreen_furfrou_diamond,472,4
limegreen_furfrou_heart,472,4
limegreen_furfrou_kabuki,472,4
limegreen_furfrou_la_reine,472,4
limegreen_furfrou_matron,472,4
limegreen_furfrou_pharaoh,472,4
limegreen_furfrou_star,472,4
orange_furfrou,472,4
orange_furfrou_dandy,472,4
orange_furfrou_debutante,472,4
orange_furfrou_diamond,472,4
orange_furfrou_heart,472,4
orange_furfrou_kabuki,472,4
orange_furfrou_la_reine,472,4
orange_furfrou_matron,472,4
orange_furfrou_pharaoh,472,4
orange_furfrou_star,472,4
pink_furfrou,472,4
pink_furfrou_dandy,472,4
pink_furfrou_debutante,472,4
pink_furfrou_diamond,472,4
pink_furfrou_heart,472,4
pink_furfrou_kabuki,472,4
pink_furfrou_la_reine,472,4
pink_furfrou_matron,472,4
pink_furfrou_pharaoh,472,4
pink_furfrou_star,472,4
purple_furfrou,472,4
purple_furfrou_dandy,472,4
purple_furfrou_debutante,472,4
purple_furfrou_diamond,472,4
purple_furfrou_heart,472,4
purple_furfrou_kabuki,472,4
purple_furfrou_la_reine,472,4
purple_furfrou_matron,472,4
purple_furfrou_pharaoh,472,4
purple_furfrou_star,472,4
red_furfrou,472,4
red_furfrou_dandy,472,4
red_furfrou_debutante,472,4
red_furfrou_diamond,472,4
red_furfrou_heart,472,4
red_furfrou_kabuki,472,4
red_furfrou_la_reine,472,4
red_furfrou_matron,472,4
red_furfrou_pharaoh,472,4
red_furfrou_star,472,4
yellow_furfrou,472,4
yellow_furfrou_dandy,472,4
yellow_furfrou_debutante,472,4
yellow_furfrou_diamond,472,4
yellow_furfrou_heart,472,4
yellow_furfrou_kabuki,472,4
yellow_furfrou_la_reine,472,4
yellow_furfrou_matron,472,4
yellow_furfrou_pharaoh,472,4
yellow_furfrou_star,472,4
swanna,473,4
garbodor,474,4
hariyama,474,4
trevenant,474,4
vespiquen,474,4
bruxish,475,4
cacturne,475,4
cramorant,475,4
cramorant_gorging,475,4
cramorant_gulping,475,4
dewgong,475,4
frosmoth,475,4
gastrodon,475,4
gastrodon_east,475,4
indeedee,475,4
indeedee_f,475,4
kingler,475,4
manectric,475,4
sawsbuck,475,4
sawsbuck_autumn,475,4
sawsbuck_summer,475,4
sawsbuck_winter,475,4
tatsugiri,475,4
tatsugiri_droopy,475,4
tatsugiri_stretchy,475,4
mimikyu,476,5
mimikyu_busted,476,5
oricorio,476,5
oricorio_pa_u,476,5
oricorio_pom_pom,476,5
oricorio_sensu,476,5
dachsbun,477,5
crabominable,478,5
veluza,478,5
pidgeot,479,5
skuntank,479,5
brambleghast,480,5
darmanitan,480,5
froslass,480,5
glalie,480,5
grapploct,480,5
jellicent,480,5
komala,480,5
lilligant,480,5
lilligant_hisui,480,5
lopunny,480,5
ludicolo,480,5
lurantis,480,5
octillery,480,5
orthworm,480,5
palossand,480,5
phione,480,5
salazzle,480,5
shiftry,480,5
slurpuff,480,5
whimsicott,480,5
espathra,481,5
heliolisk,481,5
ambipom,482,5
malamar,482,5
clefable,483,5
cofagrigus,483,5
golurk,483,5
hypno,483,5
runerigus,483,5
durant,484,5
heatmor,484,5
appletun,485,5
beheeyem,485,5
bombirdier,485,5
comfey,485,5
crustle,485,5
dipplin,485,5
drampa,485,5
drednaw,485,5
druddigon,485,5
flapple,485,5
gorebyss,485,5
grafaiai,485,5
huntail,485,5
mantine,485,5
raichu,485,5
raichu_alola,485,5
relicanth,485,5
rhydon,485,5
scolipede,485,5
spiritomb,485,5
staraptor,485,5
toucannon,485,5
turtonator,485,5
scovillain,486,5
zygarde_10,486,5
zygarde_10_c,486,5
lycanroc,487,5
lycanroc_dusk,487,5
lycanroc_midnight,487,5
musharna,487,5
houndstone,488,5
scrafty,488,5
unfezant,488,5
ferrothorn,489,5
oinkologne,489,5
oinkologne_f,489,5
altaria,490,5
barraskewda,490,5
bellossom,490,5
bisharp,490,5
bisharp_override,490,5
boltund,490,5
bouffalant,490,5
dubwool,490,5
electabuzz,490,5
electrode,490,5
electrode_hisui,490,5
exploud,490,5
gothitelle,490,5
kangaskhan,490,5
kilowattrel,490,5
miltank,490,5
oranguru,490,5
passimian,490,5
pawmot,490,5
reuniclus,490,5
sigilyph,490,5
slowbro,490,5
slowbro_galar,490,5
slowking,490,5
slowking_galar,490,5
tauros,490,5
tauros_paldea,490,5
toxicroak,490,5
victreebel,490,5
vileplume,490,5
weezing,490,5
weezing_galar,490,5
abomasnow,494,5
dragalge,494,5
gourgeist,494,5
gourgeist_large,494,5
gourgeist_small,494,5
gourgeist_super,494,5
accelgor,495,5
alcremie,495,5
alcremie_caramel_swirl,495,5
alcremie_lemon_cream,495,5
alcremie_matcha_cream,495,5
alcremie_mint_cream,495,5
alcremie_rainbow_swirl,495,5
alcremie_ruby_cream,495,5
alcremie_ruby_swirl,495,5
alcremie_salted_cream,495,5
armaldo,495,5
bastiodon,495,5
bellibolt,495,5
carracosta,495,5
corviknight,495,5
cradily,495,5
escavalier,495,5
floatzel,495,5
golem,495,5
golem_alola,495,5
kabutops,495,5
magmar,495,5
mismagius,495,5
omastar,495,5
pangoro,495,5
rampardos,495,5
toxapex,495,5
zebstrika,497,5
drifblim,498,5
simipour,498,5
simisage,498,5
simisear,498,5
talonflame,499,5
aegislash,500,5
aegislash_blade,500,5
alakazam,500,5
barbaracle,500,5
bewear,500,5
bronzong,500,5
calyrex,500,5
carbink,500,5
clawitzer,500,5
claydol,500,5
copperajah,500,5
donphan,500,5
drapion,500,5
flamigo,500,5
garganacl,500,5
gengar,500,5
golduck,500,5
hawlucha,500,5
heracross,500,5
houndoom,500,5
kleavor,500,5
leavanny,500,5
minior,500,5
mudsdale,500,5
muk,500,5
muk_alola,500,5
pinsir,500,5
politoed,500,5
rapidash,500,5
rapidash_galar,500,5
revavroom,500,5
scizor,500,5
scyther,500,5
stoutland,500,5
ursaring,500,5
vikavolt,500,5
wailord,500,5
cyclizar,501,6
toxtricity,502,6
toxtricity_low_key,502,6
arctovish,505,6
arctozolt,505,6
beartic,505,6
conkeldurr,505,6
dracovish,505,6
dracozolt,505,6
honchkrow,505,6
mabosstiff,505,6
machamp,505,6
nidoking,505,6
nidoqueen,505,6
ninetales,505,6
ninetales_alola,505,6
orbeetle,505,6
shuckle,505,6
tinkaton,506,6
pyroar,507,6
sirfetchd,507,6
excadrill,508,6
polteageist,508,6
polteageist_antique,508,6
sinistcha,508,6
sinistcha_masterpiece,508,6
seismitoad,509,6
ampharos,510,6
arboliva,510,6
braviary,510,6
braviary_hisui,510,6
coalossal,510,6
cursola,510,6
gliscor,510,6
grimmsnarl,510,6
hatterene,510,6
mandibuzz,510,6
mienshao,510,6
overqwil,510,6
poliwrath,510,6
sandaconda,510,6
sneasler,510,6
steelix,510,6
tsareena,510,6
weavile,510,6
zoroark,510,6
zoroark_hisui,510,6
avalugg,514,6
avalugg_hisui,514,6
aerodactyl,515,6
cryogonal,515,6
eelektross,515,6
gigalith,515,6
lickilicky,515,6
porygon2,515,6
roserade,515,6
tentacruel,515,6
toedscruel,515,6
yanmega,515,6
dhelmise,517,6
gallade,518,6
gardevoir,518,6
krookodile,519,6
chandelure,520,6
dudunsparce,520,6
dudunsparce_three_segment,520,6
farigiraf,520,6
flygon,520,6
klinklang,520,6
mrrime,520,6
obstagoon,520,6
rotom_fan,520,6
rotom_frost,520,6
rotom_heat,520,6
rotom_mow,520,6
rotom_wash,520,6
starmie,520,6
aurorus,521,6
cetitan,521,6
tyrantrum,521,6
luxray,523,6
armarouge,525,6
centiskorch,525,6
ceruledge,525,6
cloyster,525,6
dusknoir,525,6
espeon,525,6
flareon,525,6
glaceon,525,6
glimmora,525,6
hippowdon,525,6
jolteon,525,6
leafeon,525,6
lucario,525,6
meganium,525,6
probopass,525,6
sylveon,525,6
torterra,525,6
umbreon,525,6
vaporeon,525,6
venusaur,525,6
wyrdeer,525,6
emboar,528,6
samurott,528,6
samurott_hisui,528,6
serperior,528,6
aggron,530,6
basculegion,530,6
basculegion_f,530,6
blastoise,530,6
blaziken,530,6
chesnaught,530,6
cinderace,530,6
decidueye,530,6
decidueye_hisui,530,6
dondozo,530,6
empoleon,530,6
exeggutor,530,6
exeggutor_alola,530,6
feraligatr,530,6
golisopod,530,6
greninja,530,6
greninja_bond,530,6
incineroar,530,6
inteleon,530,6
mamoswine,530,6
meowscarada,530,6
primarina,530,6
quaquaval,530,6
rillaboom,530,6
sceptile,530,6
skeledirge,530,6
walrein,530,6
gogoat,531,6
charizard,534,6
delphox,534,6
infernape,534,6
typenull,534,6
typhlosion,534,6
typhlosion_hisui,534,6
annihilape,535,6
crobat,535,6
duraludon,535,6
lapras,535,6
magnezone,535,6
noivern,535,6
porygonz,535,6
rhyperior,535,6
swampert,535,6
tangrowth,535,6
vanilluxe,535,6
blissey,540,6
darmanitan_galar,540,6
darmanitan_zen,540,6
electivire,540,6
gyarados,540,6
haxorus,540,6
hydrapple,540,6
kingdra,540,6
magmortar,540,6
milotic,540,6
naganadel,540,6
snorlax,540,6
togekiss,545,6
gholdengo,550,6
kingambit,550,6
ogerpon,550,6
ogerpon_cornerstone,550,6
ogerpon_cornerstone_tera,550,6
ogerpon_hearthflame,550,6
ogerpon_hearthflame_tera,550,6
ogerpon_teal_tera,550,6
ogerpon_wellspring,550,6
ogerpon_wellspring_tera,550,6
ursaluna,550,6
urshifu,550,6
urshifu_o,550,6
urshifu_o_rapidstrike,550,6
urshifu_rapid_strike,550,6
volcarona,550,6
floette_eternal,551,6
florges,552,6
florges_blue,552,6
florges_orange,552,6
florges_white,552,6
florges_yellow,552,6
arcanine,555,6
arcanine_hisui,555,6
fezandipiti,555,6
munkidori,555,6
okidogi,555,6
ursaluna_bloodmoon,555,6
ogerponfire,558,6
ogerponrock,558,6
ogerponteal,558,6
ogerponwater,558,6
archeops,567,6
blacephalon,570,6
brutebonnet,570,6
buzzwole,570,6
celesteela,570,6
chienpao,570,6
chiyu,570,6
fluttermane,570,6
greattusk,570,6
guzzlord,570,6
ironbundle,570,6
ironhands,570,6
ironjugulis,570,6
ironmoth,570,6
ironthorns,570,6
irontreads,570,6
kartana,570,6
nihilego,570,6
pheromosa,570,6
sandyshocks,570,6
screamtail,570,6
silvally,570,6
silvally_bug,570,6
silvally_dark,570,6
silvally_dragon,570,6
silvally_electric,570,6
silvally_fairy,570,6
silvally_fighting,570,6
silvally_fire,570,6
silvally_flying,570,6
silvally_ghost,570,6
silvally_grass,570,6
silvally_ground,570,6
silvally_ice,570,6
silvally_poison,570,6
silvally_psychic,570,6
silvally_rock,570,6
silvally_steel,570,6
silvally_water,570,6
slitherwing,570,6
stakataka,570,6
tapubulu,570,6
tapufini,570,6
tapukoko,570,6
tapulele,570,6
tinglu,570,6
wochien,570,6
xurkitree,570,6
articuno,580,7
articuno_galar,580,7
azelf,580,7
cobalion,580,7
cresselia,580,7
enamorus,580,7
enamorus_therian,580,7
entei,580,7
glastrier,580,7
keldeo,580,7
keldeo_resolute,580,7
mesprit,580,7
moltres,580,7
moltres_galar,580,7
raikou,580,7
regice,580,7
regidrago,580,7
regieleki,580,7
regirock,580,7
registeel,580,7
spectrier,580,7
suicune,580,7
terrakion,580,7
thundurus,580,7
thundurus_therian,580,7
tornadus,580,7
tornadus_therian,580,7
uxie,580,7
virizion,580,7
zapdos,580,7
zapdos_galar,580,7
gougingfire,590,7
ironboulder,590,7
ironcrown,590,7
ironleaves,590,7
ironvaliant,590,7
ragingbolt,590,7
roaringmoon,590,7
walkingwake,590,7
archaludon,600,7
baxcalibur,600,7
celebi,600,7
darkrai,600,7
deoxys,600,7
deoxys_attack,600,7
deoxys_defense,600,7
deoxys_speed,600,7
diancie,600,7
dragapult,600,7
dragonite,600,7
garchomp,600,7
genesect,600,7
genesect_electric,600,7
genesect_fire,600,7
genesect_ice,600,7
genesect_water,600,7
goodra,600,7
goodra_hisui,600,7
heatran,600,7
hoopa,600,7
hydreigon,600,7
jirachi,600,7
kommoo,600,7
landorus,600,7
landorus_therian,600,7
latias,600,7
latios,600,7
magearna,600,7
magearna_original,600,7
manaphy,600,7
marshadow,600,7
melmetal,600,7
meloetta,600,7
meloetta_pirouette,600,7
metagross,600,7
mew,600,7
necrozma,600,7
pecharunt,600,7
salamence,600,7
shaymin,600,7
shaymin_sky,600,7
shayminsky,600,7
terapagos_terastal,600,7
tyranitar,600,7
victini,600,7
volcanion,600,7
zarude,600,7
zarude_dada,600,7
zeraora,600,7
zygarde,600,7
zygarde_50_c,600,7
wishiwashi_school,620,7
greninja_ash,640,7
kyurem,660,7
zacian,660,7
zamazenta,660,7
groudon,670,7
koraidon,670,7
kyogre,670,7
miraidon,670,7
regigigas,670,7
slaking,670,7
calyrex_ice,680,7
calyrex_shadow,680,7
dialga,680,7
dialga_origin,680,7
giratina,680,7
giratina_origin,680,7
hooh,680,7
hoopa_unbound,680,7
lugia,680,7
lugia_shadow,680,7
lunala,680,7
mewtwo,680,7
necrozma_dawn_wings,680,7
necrozma_dusk_mane,680,7
palkia,680,7
palkia_origin,680,7
rayquaza,680,7
reshiram,680,7
solgaleo,680,7
xerneas,680,7
xerneas_active,680,7
yveltal,680,7
zekrom,680,7
eternatus,690,7
kyurem_black,700,7
kyurem_white,700,7
terapagos_stellar,700,7
zacian_crowned,700,7
zamazenta_crowned,700,7
zygarde_complete,708,7
arceus,720,7
arceus_bug,720,7
arceus_dark,720,7
arceus_dragon,720,7
arceus_electric,720,7
arceus_fairy,720,7
arceus_fighting,720,7
arceus_fire,720,7
arceus_flying,720,7
arceus_ghost,720,7
arceus_grass,720,7
arceus_ground,720,7
arceus_ice,720,7
arceus_poison,720,7
arceus_psychic,720,7
arceus_rock,720,7
arceus_steel,720,7
arceus_water,720,7
necrozma_ultra,754,7
ultranecrozma,754,7
groudon_primal,770,7
kyogre_primal,770,7
eternatus_eternamax,1125,7
